kana,kanji,english
nosei,のせい,consequence outcome result blame fault
baggu,バッグ,bag
desukara,ですから,so therefore accordingly that is why
soredemo,それでも,but still and yet nevertheless even so
shina,品,article item thing goods stock
hitai,額(hitai),forehead brow
penki,ペンキ,paint
oboreru,溺れる,to be drowning in something drown sink
chanto,ちゃんと,diligently seriously properly exactly perfectly
tatta,たった,only merely but no more than
kitsui,きつい,tough hard severe demanding forceful strong
gussuri,ぐっすり,soundly sleeping fast asleep
pittari,ぴったり,tightly closely exactly precisely
nazenara,なぜなら,because the reason is if you want to know why
gomi,塵,garbage trash
sappari,さっぱり,feeling refreshed relieved neat clean
shikamo,然も,moreover futhermore nevertheless and yet
tokorode,所で,by the way even if no matter who what why
tsugu,つぐ,to pour into fill dish out
omedetou,おめでとう,congratulations well done best wishes
sate,さて,well now then
tsui,対,pair couple set
hansamu,ハンサム,handsome
memo,メモ,note memo
izure,いずれ,where which who anyway anyhow at any rate
zatto,ざっと,roughly approximately more or less briefly
suicchi,スイッチ,switch
hyou,表,chart graph figure
tappuri,たっぷり,full in plenty ample
daiya,ダイヤ,diamond diagram
bonyari,ぼんやり,dimly faintly indistinctly vaguely
konnichiha,こんにちは,hello good day afternoon
puran,プラン,plan scheme
puro,プロ,professional pro
nonbiri,のんびり,at leisure in a relaxed manner quietly peacefully
demo,デモ,demo demonstration protest
bideo,ビデオ,video
toppu,トップ,top
hasami,鋏,scissors shears clippers
ho-mu,ホーム,home platform
kuri-mu,クリーム,cream
suta-,スター,star
houbou,方々,here and there all over
pin,ピン,pin
bo-i,ボーイ,boy
kurashikku,クラシック,classical music classic classics
ton,屯,ton
maiku,マイク,mike mic microphone
tokoroga,所が,even so however still nevertheless
suku,空く,to become less crowded get empty thin out
hotoke,仏,buddha
ko-do,コード,code
ta,田,rice field
sokkuri,そっくり,all altogether entirely completely just like
irasshai,いらっしゃい,come go stay welcome
nikkori,にっこり,sweetly smiling broadly grinning
dakedo,だけど,however
daga,だが,but however yet still nevertheless
no-,ノー,no
ta,他(ta),other
mi,身,body
sakebu,叫ぶ,to shout cry scream
jojo,徐々,slow gradual calm composed
oku,奥,inner part interior back bottom
moushiwake,申し訳,apology excuse
kun,訓,lesson ones teaching
sei,正,true regular original
gutai,具体,concrete tangible material
kure,暮れ,sunset sundown nightfall dusk end
go,御,honorific polite humble prefix
idaku,抱く(idaku),hold in ones arms hug embrace
tsurai,辛い,painful bitter difficult tough hard cruel
mottomo,もっとも,but then though just reasonable
hin,品(hin),elegance grace class article item counter
haku,吐く,to vomit throw up spit up
aruiha,あるいは,or either maybe perhaps possibly
ugai,うがい,gargling rinsing ones mouth
e,柄(e),handle grip
taisuru,対する,to face be facing direct toward
bikkuri,びっくり,to be surprised frightened startled to jump
annani,あんなに,to that extent to that degree so much
gomennasai,ごめんなさい,im sorry my apologies excuse me
ken,軒(ken),counter for buildings
battari,ばったり,with a clash thud bang
en,縁(en),fate destiny relationship
kechi,ケチ,stingy stinginess miser cheapstake shabby cheap
raita-,ライター,lighter
ban,バン,bun hairstyle
sotto,率土,face of the earth
kyuu,球,sphere counter for balls
fu,不,un non negative prefix
nashi,無し,without unacceptable not alright
torakku,トラック,truck
ka-do,カード,card
sain,サイン,autograph signature sign
gurasu,グラス,glass
mama,ママ,mom mama mommy mother
bakushu,ばくしゅ,beer
kana,kanji,english
gishiki,儀式,ceremony rite ritual service
nankyoku,南極,south pole
hokkyoku,北極,north pole
shokunin,職人,craftsman artisan tradesman worker
shinkansen,新幹線,shinkansen bullet train
hirune,昼寝,nap
oodoori,大通り,main street
mokuzai,木材,lumber timber wood
unga,運河,canal waterway
yuuenchi,遊園地,amusement park
jaguchi,蛇口,faucet tap
tennou,天皇,emperor of japan
yougan,溶岩,lava
bushi,武士,warrior samurai
myouji,苗字,surname last name
shiryou,資料,materials data document
mensetsu,面接,interview
kuchibiru,唇,lips lip
bouenkyou,望遠鏡,telescope
mure,群れ,group crowd flock herd pack
kaihou,解放,release liberation setting free unleashing
onsen,温泉,onsen hot spring
shoten,書店,bookstore book shop
ekitai,液体,liquid
kashitsu,過失,accident error blunder fault
ido,井戸,water well
kakine,垣根,hedge fence border limit
engeki,演劇,drama theater play
entotsu,煙突,chimney smokestack funnel stovepipe
tsuukin,通勤,commuting to work
hiroba,広場,public square plaza open space
kajitsu,果実,fruit nut verry fruits profit
mujun,矛盾,contradiction inconsistency
denchi,電池,battery cell
senden,宣伝,publicity advertisement advertising promotion
kanpai,乾杯,cheers toast drink bottoms up
tsuuyaku,通訳,interpretation interpreter
kazan,火山,volcano
chuusei,中世,middle ages medieval times
hanabi,花火,fireworks
sumou,相撲,sumo wrestling
kannen,観念,idea notion concept sense
kiso,基礎,foundation basis
fubuki,吹雪,snow storm blizzard
tsuuka,通貨,currency
shako,車庫,garage carport depot
kaiten,回転,conveyer belt circle rotation
suiso,水素,hydrogen
makura,枕,pillow
keiba,競馬,horse racing
kakudo,角度,angle
teiden,停電,power outage blackout
kougai,公害,pollution contamination
kegawa,毛皮,fur skin pelt
shougyou,商業,commerce trade business
seitou,政党,political party
haiiro,灰色,gray
meisho,名所,famous place
ashiato,足跡,footprint footprints record
hyakkajiten,百科事典,encyclopedia
koukyou,公共,public
bokujou,牧場,farm livestock ranch
koushiki,公式,official formal formula
shitai,死体,dead body corpse
sharin,車輪,wheel
jouki,蒸気,steam vapor
kouyou,紅葉,autumn fall colors
kyouka,強化,reinforced super strengthening enhancement
ketsueki,血液,blood
shisei,姿勢,posture pose position stance attitude
kanban,看板,sign billboard doorplate
shinrin,森林,forest woods
shouka,消化,digestion consumption
norikae,乗り換え,transfer change connection
jishaku,磁石,magnet compass
shinwa,神話,myth mythology legend
yakkyoku,薬局,pharmacy drugstore
jiin,寺院,buddhist temple church
buntai,文体,literary style
kenbikyou,顕微鏡,microscope
touyou,東洋,the east orient
taki,滝,waterfall rapids
menseki,面積,square measure area size of land
hougen,方言,dialect
denryoku,電力,electrical power
ryou,寮,dorm dormitory
satsuei,撮影,film photograph
kaoku,家屋,house building
su,酢,vinegar
ketsuatsu,血圧,blood pressure
keizoku,継続,continuation going on
chokusen,直線,straight line
kokuseki,国籍,nationality citizenship
gakki,楽器,instrument
sashimi,刺身,raw seafood sashimi
hansei,反省,reflection contemplation mediation
kyuuyo,給与,pay salary wages
denki,伝記,biography life story
shougi,将棋,japanese chess
fuusen,風船,balloon
mugen,無限,infinity infinite eternity limitless
housou,包装,packing wrapping
dou,銅,copper cu bronze
funka,噴火,volcanic eruption
choukoku,彫刻,carving engraving sculpture
tekubi,手首,wrist
akegata,明け方,dawn
souko,倉庫,storehouse warehouse
sei,姓,surname family name last name
hikiwake,引き分け,draw tie game
take,竹,bamboo
senzo,先祖,ancestor ancestors
bunpu,分布,distribution allocation
engei,園芸,gardening
gyouretsu,行列,line queue
niru,煮る,to boil simmer stew
denchuu,電柱,power line pole
hyoushi,表紙,cover binding
taiko,太鼓,drum
touitsu,統一,unity consolodation uniformity union
kigou,記号,symbol code sign notation
houchou,包丁,kitchen knife
shousha,商社,trading company
wafuku,和服,japanese clothes
temae,手前,before oneself in front of one nearby
gakunen,学年,academic year school
chuunen,中年,middle age ages
denkyuu,電球,light bulb
koten,古典,classic the classics
sansuu,算数,arithmetic calculation
tansui,淡水,fresh water
ryoushi,漁師,fisherman
onshitsu,温室,greenhouse
nousanbutsu,農産物,agricultural produce
henshuu,編集,editing
taisou,体操,gymnastics
oyayubi,親指,thumb big toe
shuugou,集合,meeting up gathering assembly
genri,原理,principle theory
heijitsu,平日,weekday ordinary day
kuchibeni,口紅,lipstick
enkai,宴会,party banquet reception feast
kousen,光線,beam light ray
sokutei,測定,measurement
hamigaki,歯磨き,tooth teeth brushing
suibun,水分,water liquid fluid moisture
zeikan,税関,customs
shizenkagaku,自然科学,natural science sciences
mochi,餅,mochi
fukusuu,複数,plural multiple several
bunbougu,文房具,stationary
shitsudo,湿度,humidity
suichoku,垂直,perpendicular vertical
kouryuu,交流,exchange mixing ac alternating current
kakuritsu,確率,probability likelihood chances
denpa,電波,radio wave reception signal
seibetsu,性別,gender sex
daigakuin,大学院,grad school graduate
haiku,俳句,haiku
baibai,売買,trade buying and selling
masatsu,摩擦,friction rubbing chaffing
koubutsu,鉱物,mineral
denryuu,電流,electric current
toumei,透明,transparent clear
daimeishi,代名詞,pronoun
gyogyou,漁業,fishing industry fishery
yakusho,役所,government public office
meishi,名刺,business card
toudai,灯台,lighthouse
kamotsu,貨物,cargo freight
senzai,洗剤,detergent cleanser
youchien,幼稚園,kindergarten
kanmuri,冠,cap crown diadem
senro,線路,railway track line rail railroad
kaikan,会館,meeting assembly hall
hakike,吐き気,nausea feeling sick
kansoku,観測,observation survey measurement opinion
haguruma,歯車,gear cog cogwheel
kufuu,工夫,devising contriving figuring out
douwa,童話,childrens story fairy tale
murasaki,紫,purple
shikai,司会,leading a meeting presenter chairman host
hantou,半島,peninsula
chouten,頂点,apex pinnacle peak top summit
shinkou,真空,vacuum hollow empty
kanchou,官庁,government office agency
shasetsu,社説,editorial
kiatsu,気圧,atmospheric pressure
hatsuden,発電,generation of power
nouyaku,農薬,pesticide
tenten,転々,moving from place to place passed around repeatedly
ryuuiki,流域,drainage basin
setsuzoku,接続,connection attachment union joint link
meibutsu,名物,famous product specialty
gakubu,学部,department of a university
asshuku,圧縮,compression
gun,郡,district county
juuryoku,重力,gravity gravitation gravitational pull
yuketsu,輸血,blood transfusion
kondate,献立,menu
kougei,工芸,arts craft handicraft
jichi,自治,self government autonomy
shakaikagaku,社会科学,social science
yukata,浴衣,yukata
kawase,為替,money order
hikki,筆記,taking notes writing
sugi,杉,japanese cedar
shihei,紙幣,paper money note bill
hoken,保健,hygiene sanitation
kaisatsu,改札,ticket gate
zukan,図鑑,picture book manual guide
seireki,西暦,common era ad
touge,峠,ridge peak
sakuin,索引,index in a book
kikansha,機関車,locomotive engine
fumikiri,踏切,railway train crossing
aimai,曖昧,vague ambiguous unclear
hashigo,梯子,ladder
hiji,肘,elbow
juutan,絨毯,carpet rug
amimono,編み物,knitting knitted material crochet
kugi,釘,nail spike pin
yuderu,茹でる,to boil boiling
houtai,包帯,bandage dressing
kitai,気体,gas vapor
koshou,胡椒,pepper
kikin,飢饉,famine
renga,煉瓦,brick
chokkaku,直角,right angle perpendicular
sabi,錆,rust
meishin,迷信,superstition
shitsuren,失恋,broken heart unrequited love
machiaishitsu,待合室,waiting room
kushi,櫛,comb
jouhatsu,蒸発,evaporation
mawarimichi,回り道,detour diversion
shouryaku,省略,omission
senpuuki,扇風機,electric fan
keiyoushi,形容詞,adjective i adjective
saihou,裁縫,sewing needlework
seihoukei,正方形,square
kuzu,屑,waste scrap garbage piece of trash loser
soba,蕎麦,buckwheat soba noodles
hitosashiyubi,人差し指,index finger second finger toe
fukushi,副詞,adverb
keikoutou,蛍光灯,fluorescent lamp light
jougi,定規,ruler
shoubousho,消防署,fire station
keigo,敬語,formal honorific term of respect
keido,経度,longitude
kakko,括弧,brackets parentheses
jikanwari,時間割,timetable schedule
houki,箒,broom
yajirushi,矢印,arrow direction
kaisuiyoku,海水浴,swimming in the ocean taking a dip
taiseki,体積,capacity volume
zabuton,座布団,zabuton flat floor cushion
furoshiki,風呂敷,wrapping cloth
shouji,障子,shoji paper sliding door
funsui,噴水,water fountain
benjo,便所,toilet lavatory restroom bathroom
fukusha,複写,copying duplication reproduction copy
suitou,水筒,water bottle
hadagi,肌着,underwear undergarment lingerie
ontai,温帯,temperate zone
kusuriyubi,薬指,ring finger fourth
otearai,お手洗い,bathroom toilet restroom washing ones hands
neji,螺子,screw
shugo,主語,subject in grammar
reiten,零点,zero points no marks
chousho,長所,strong point merit virtue advantage
kyuusoku,休息,rest relaxation relax
shikke,湿気,moisture humidity dampness
shoubu,勝負,victory or defeat match contest game bout
yakunin,役人,government official
sougo,相互,mutual reciprocal
hikkoshi,引っ越し,moving changing residence
kaiyou,海洋,ocean
nobori,上り,ascent climbing upbound
kansai,関西,kansai
seimon,正門,main gate entrance
kikkake,切っ掛け,the trigger motive impetus
renkou,連合,union alliance combination
nanbei,南米,south america
shitamachi,下町,low lying part of city town
daishou,大小,size big and small
ichiou,一応,for the time being pretty much more or less
gomen,ごめん,im sorry my apologies excuse me
ittan,いったん,once for a short time briefly
fumoto,ふもと,foot bottom base
ikebana,生け花,ikebana art of flower arrangement
oubei,欧米,europe and the us
keiko,稽古,practice training study
sukima,隙間,crevice crack gap opening
tansu,箪笥,chest of drawers cabinet dresser
setomono,瀬戸物,porcelain china pottery
gouryuu,合流,merge junction joining union
kudaru,下る,to descend go come down
mamonaku,間もなく,soon shortly before long
taeru,耐える,to bear to stand to put up with
sukunakutomo,少なくとも,at least
osaeru,押さえる,to pin hold press down cover
shiriai,知り合い,acquaintance
aikawarazu,相変わらず,as ever as usual
socchoku,率直,frank candid straightforward direct
naguru,殴る,to hit strike beat punch
tsutomeru,努める,to endeavor try strive make an effort
awateru,慌てる,to become confused flustered to panic
miru,診る,to examine medically
nantomo,何とも,really very extremely terribly awfully
mare,稀,rare seldom
semaru,迫る,to approach drawn near be imminent
nerau,狙う,to aim
azukaru,預かる,to look after take care of be entrusted with
ukaberu,浮かべる,to float set afloat launch
koutai,交代,alternation change relief shift substitution
kareru,枯れる,to wither die mature
atarimae,当たり前,of course natural
hazureru,外れる,to be disconnected out be removed
hirogeru,広げる,to spread extend expand
torikesu,取り消す,to cancel withdraw retract
miokuru,見送る,to see someone off
tsutawaru,伝わる,to be circulated transmitted handed down
wakareru,分かれる,to branch fork diverge split divide
sessuru,接する,to touch come in contact with be close
sasu,刺す,to stab pierce
kubaru,配る,to distribute hand out deliver
uriage,売り上げ,amount sold sales
zokusuru,属する,to belong to be affiliated with
sakusei,作成,drawing up preparing writing
yobidasu,呼び出す,to summon call convene invoke
tsumu,積む,to pile up stack load
ueru,飢える,to starve be famished hungry
hanashiai,話し合い,discussion talk conference
seishitsu,性質,nature property disposition
natsukashii,懐かしい,nostalgic missed beloved
kaneru,兼ねる,to be unable to find difficult work two jobs
kaisan,解散,breaking up dispersal dissolution
houshin,方針,policy course plan
tatsu,建つ,to be erected be built
umeru,埋める,to bury fill plug
yokei,余計,too many too much excessive unnecessary
housoku,法則,law rule
ikiki,生き生き,in a lively way vividly animatedly actively
hakki,発揮,show of power exhibition manifestation
fusai,夫妻,husband and wife married couple
bessou,別荘,vacation house
nyoubou,女房,wife
toujou,登場,appearance entrance entry
tetsuzuki,手続き,procedure process
jitsuryoku,実力,real ability true strength
tsuuchi,通知,notice notification report
honrai,本来,originally primarily
shimekiri,締め切り,deadline cut off
tsuuchi,通知,notice notification report
kokuou,国王,king queen monarch the crown
ichiryuu,一流,first class top grade
kessaku,傑作,masterpiece best work
youji,幼児,young child toddler
shibaru,縛る,to tie fasten bind
ka,蚊,mosquito
shiboru,絞る,to squeeze wring
shucchou,出張,business trip
dousa,動作,movement action motion gesture
shuukai,集会,meeting assembly gathering
ikou,以降,on and after from since
reigai,例外,exception
hiniku,皮肉,irony sarcasm cynicism satire unexpected
zoudai,増大,enlargement increase
kousha,校舎,school building
shinnyuu,侵入,invasion raid incursion
amaru,余る,to remain be left over be in excess
nakayoshi,仲良し,close friend buddy
youryou,要領,point gist
zenshin,全身,whole body
nerai,狙い,aim
fuun,不運,misfortune bad luck
fukyuu,普及,diffusion spread
shuuhen,周辺,circumference outskirts
ittei,一定,fixed settled constant
teire,手入れ,maintenance repair care
bunrui,分類,classification categorization sorting
chiten,地点,site point on a map spot
kousei,公正,justice fairness
koudo,高度,altitude height elevation
tokutei,特定,specific particular special
kaisei,改正,revision amendment alteration
manten,満点,perfect score full marks
kujou,苦情,complaint troubles objection grievance
umaru,詰まる,to be packed with be full blocked
oujo,王女,princess
chousei,調整,adjustment regulation coordination
hyoushiki,標識,sign mark flag
hinode,日の出,sunrise
takameru,高める,to raise lift boost enhance
kizamu,刻む,to mince chop up cut fine shred carve etch
tenkai,展開,development evolution progression
koumoku,項目,item heading category clause
rigai,利害,advantages and disadvantages interests
hanji,判事,judge
jisoku,時速,speed per hour
gakka,学科,study subject department
mimau,見舞う,to ask after to visit
tegoro,手ごろ,handy convenient suitable
sekkin,接近,getting closer drawing nearer approaching
toukei,統計,statistics
kouzou,構造,structure construction makeup
kizukai,小遣い,pocket money allowance
taisaku,対策,measure step strategy countermeasure
kyouyou,教養,cultivation refinement culture education
kuzureru,崩れる,to collapse crumble break down
musuu,無数,innumerable countless numberless
souridaijin,総理大臣,prime minister
mihon,見本,sample speciment model example
oufuku,往復,making a round trip coming and going
goraku,娯楽,amusement entertainment recreation pleasure hobby
hasamu,挟む,to hold between to grip from both sides
dankai,段階,stage step phase
yakusha,役者,actor actress
sunao,素直,obedient meek docile honest frank
juuyaku,重役,director executive top management
manin,満員,full house no vacancy
yakume,役目,duty role function
zunou,頭脳,head brains intellect understanding
jakuten,弱点,weak point weakness shortcoming defect flaw
chijin,知人,friend acquaintance
hade,派手,showy flashy
ouen,応援,aid assistance help support
chousetsu,調節,regulation adjustment control
bunkai,分解,disassembly dismantling analysis decomposition
teishi,停止,stoppage coming to a stop halt standstill
nakami,中身,contents
yusou,輸送,transport transportation
hayakuchi,早口,fast talking rapid
sosen,祖先,ancestor
kasho,箇所,place point part sport area counter
seizon,生存,existence being survival
hanayome,花嫁,bride
yudan,油断,negligence carelessness
atatamaru,温まる,to warm onself
katamari,塊,lump mass bundle clump group crowd
kaketsu,可決,approval adoption passage
hiyasu,冷やす,to cool chill refrigerate calm relax
soui,相違,difference discrepancy variation
kuuchuu,空中,sky air mid air
juwaki,受話器,telephone receiver
shuuzen,修繕,repair mending mend fix
shuuryou,終了,end close termination
yoseru,寄せる,to come bring near let some approach
kigen,期限,deadline term
suitei,推定,presumption assumption estimation
boushi,防止,prevention check
kengaku,見学,study by observation field trip tour
soushiki,葬式,funeral
hosu,干す,to air to dry
shoukin,賞金,prize money reward
koujitsu,口実,excuse pretext
katei,過程,process course mechanism
buhin,部品,parts accessories components
hyoujun,標準,standard level norm
waribiki,割引,discount reduction rebate
outai,応対,dealing with people serving
tsuika,追加,to add addition supplement
kaitou,回答,reply answer
kigu,器具,utensil implement tool instrument appliance
kengaku,見学,study by observation field trip tour
shinsei,申請,application request petition
fukuramu,膨らむ,to expand swell out get big
naru,生る,to bear fruit
keishiki,形式,form
kehai,気配,indication sign hint sensation
kakuchou,拡張,expansion extension enlargement
hatsubai,発売,release sale
soshitsu,素質,makings of aptitude talent
kotobazukai,言葉遣い,speech expression wording language
onkei,恩恵,grace favor blessing
gyouji,行事,event function
chokkei,直径,diameter
urami,恨み,resentment grudge malice
aratameru,改める,to change alter revise
tensuu,点数,marks points score grade runs
minaosu,見直す,to look at again rexamine
kamisama,神様,god
yobi,予備,reserve spare
shitei,指定,designation specification assignment
katsuryoku,活力,vitality energy
demukaeru,出迎える,to meet greet
junsui,純粋,pure true genuine
kankaku,間隔,space interval
tanki,短期,short term short-term
jouge,上下,top and bottom high and low up and down
ichiichi,一々,one by one separately each and every
makkura,真っ暗,pitch black
shinrui,親類,relative relation kin
kajou,過剰,excess surplus abundance
seinou,性能,ability performance efficiency
ouyou,応用,practical application applied
madoguchi,窓口,counter window
monogataru,物語る,to tell a story give an account
kenkyo,謙虚,humble modest
kouhyou,公表,official announcement
tairitsu,対立,confrontation opposition antagonism
rokuon,録音,audio recording
kahansuu,過半数,majority
saiten,採点,marking grading scoring
hissha,筆者,writer author
kezuru,削る,to shave sharpen whittle cut down
eibun,英文,english writing sentence text literature
tsugu,次ぐ,to rank next to to come after
kyouyou,休養,rest relaxation recreation
jitsubutsu,実物,real thing original actual
uketori,受取り,receiving receipt
shoukyokuteki,消極的,negative passive half hearted unmotivated
shukushou,縮小,reduction curtailment cut cutback
chounan,長男,eldest son first born
shouten,商店,shop small store business firm
uraguchi,裏口,backdoor rear entrance exit
hahen,破片,fragment broken piece splinter chip shard
kouseki,功績,achievement deed contribution
massaki,真っ先,the head foremost beginning front
seibi,整備,maintenance servicing
yuuhi,夕日,evening sun setting sun sunset
sakujo,削除,delete deletion elimination erasure
ichidan,一段,even more one step further
shuunin,就任,assumption of office taking up
taisei,体制,order system structure organization
iten,移転,moving relocation change of address
kanzume,缶詰,canned food tinned confined
koushi,講師,speaker lecturer instructor
heitai,兵隊,soldier sailor
koushuu,公衆,the public general
chikajika,近々,soon before long shortly
rika,理科,natural science
ryougawa,両側,both sides
kongou,混合,mixing mixture meld
hikage,日陰,shade shadow
tsuna,綱,rope cord line
rainichi,来日,arrival in japan visit to japan
kaikai,開会,opening of a meeting
kanbyou,看病,nursing a patient
hedateru,隔てる,to separate isolate partition divide
kanshou,鑑賞,appreciation of art music
demukae,出迎え,meeting reception
zaigaku,在学,attending school being enrolled
kishou,起床,rising from bed getting up
chokusen,直前,just before
fukuramasu,膨らます,to swell expand inflate bulge
zatsuon,雑音,noise static
tounan,盗難,theft robbery
nittei,日程,schedule program agenda
minkan,民間,private civilian non government
masshiro,真っ白,pure white blank
shougakusei,小学生,elementary school student
chitai,地帯,area zone
toiawase,問い合わせ,inquiry query interrogation
yougo,用語,term terminology wording
kiban,基盤,foundation basis base
koutsuukikan,交通機関,means of transportation transport sytem
kouji,工事,construction work
yuuryou,有料,fee charging paid not free toll road
zaimoku,材木,wood lumber timber
sen,栓,stopper cork plug tap faucet
ayaui,危うい,dangerous in danger precarious preilous
shikichi,敷地,site plot lot grounds
shirouto,素人,amateur layman novice ordinary person
jitsurei,実例,example illustration precedent
choseki,書籍,book publication
juuryou,重量,weight
junkan,循環,circulation rotation cycle loop
kiritsu,規律,order observance discipline rules
juuten,重点,important point emphasis stress priority
gouin,強引,overbearing coercive pushy forcible
sunpou,寸法,measurement size dimension plan
kaihou,開放,opening leaving open
keibi,警備,defense guard policing security
naname,斜め,slanting tilted sloping
getsumatsu,月末,end of the month
nichiyouhin,日用品,daily necessities
gendo,限度,limit bounds
reitou,冷凍,freezing cold storage
taishou,対照,contrast antithesis comparison
usugurai,薄暗い,dim gloomy
gaibu,外部,outside exterior
kashiya,貸家,house for rent
youki,容器,container receptacle packaging
houmen,方面,direction district area field
kasoku,加速,acceleration speeding up
yanushi,家主,landlord landlady house home owner
tokushu,特殊,special particular peculiar unique
koukyuu,高級,delux high grade premium
tokushoku,特色,characteristic feature personal color
kaizou,改造,remodelling reconstruction alteration renovation
kyuugyou,休業,suspension of business shutdown holiday
kaisuu,回数,number of times frequency count
kaisei,快晴,clear weather cloudless good
sakasa,逆さ,inverted upside down reversed
shison,子孫,descendant offspring
chuukan,中間,middle midway halfway center
jidou,児童,children juvenile
gakyuu,学級,school class
bunmyaku,文脈,context circumstances line of thought
igi,意義,meaning significance
ikuji,育児,childcare child rearing nursing
kakuu,架空,fictitious imaginary fabricated
shoumen,正面,front frontage main
misaki,岬,cape on coast
seishounen,青少年,youth young person
chikarazuyoi,力強い,powerful strong vigorous
angai,案外,unexpectedly surprisingly
shukkin,出勤,going to work being at work
koutei,校庭,schoolyard playground campus
okugai,屋外,outdoors outside
deiri,出入り,going in and out frequenting
saisan,再三,again and again repeatedly
katamichi,片道,one way trip ticket
choujo,長女,eldest daughter first born
nanishiro,何しろ,at any rate anyhow anyway in any case
kichi,基地,base
teikiken,定期券,commuter pass season ticket
genjuu,厳重,strict severe stringent rigorous
hitomi,瞳,pupil eye
nouritsu,能率,efficiency
hachi,鉢,bowl pot basin
kichi,基地,base
utsuru,写る,to be photographed projected
enogu,絵の具,paint colors coloring materials
jisan,持参,bringing taking carrying
jikkan,実感,real feeling
jitsuyou,実用,practical use utility
katsuji,活字,printed text print printing
shuyaku,主役,leading part actor actress
kai,貝,shellfish shell seashell
junjo,順序,order sequence procedure
igo,以後,after this from now on hereafter
kansou,感想,impressions thoughts feelings reactions
jinmei,人命,human life
gesha,下車,alighting getting off out of a vehicle
biyou,美容,beauty good figure beauitiful
jimi,地味,plain simple sober reserved
juutai,重体,serious critical condition
boshuu,募集,recruitment invitation selection
menzei,免税,tax duty exemption
kenshuu,研修,training induction course
tsubu,粒,grain bread counter
nyuusha,入社,to enter join a company
shin,芯,wick marrow core lead
chimei,地名,place name
kouhai,後輩,junior younger member
kouryoku,効力,effect efficacy potency
tekikaku,的確,precise accurate
kakuji,各自,each persons everyone respective
baiten,売店,stand stall booth kiosk store
higaeri,日帰り,day trip
teiin,定員,fixed number of quota capacity
kashidashi,貸出,lending loaning
hyouhon,標本,example specimen sample
hyouron,評論,criticism critique
geka,外科,surgery
fukisoku,不規則,irregularity unsteadiness disorderly
sansei,酸性,acidity acidic
shiritsu,私立,private establishment
shiru,汁,juice sape sauce soup broth
monooki,物置,storage room storeroom
chouka,超過,excess being more than
hassou,発想,idea conception way of thinking approach
abura,脂,fat lard grease
jisseki,実績,achievements actual results accomplishments
shuuten,終点,terminus last stop
seisaku,制作,production creation
joukyuu,上級,upper level grade high rank
daimei,題名,title caption heading
jisshu,実習,field practice training drill exercise
seinengappi,生年月日,date of birth
keitou,系統,system lineage ancestry family line
chuuto,中途,halfway midway partway
yakuhin,薬品,medicine chemicals
taikei,体系,system organization architecture
koutei,肯定,affirmation
jisshu,実習,field practice training drill exercise
jousha,乗車,boarding a vehicle getting in a taxi
chijitsu,地質,geological features
chuujun,中旬,middle of a month
gesui,下水,drainage ditch gutter sewage
kaitsuu,開通,opening of a new going into operation
koumu,公務,official business public
deiriguchi,出入り口,exit and entrance
zokuzoku,続々,successively one after another
teika,定価,list price
kushin,苦心,pains hard work effort trouble
toshin,都心,city center heart of a city
touzai,東西,east and west ladies and gentlemen
katei,課程,course curriculum
oyooshi,催し,event function gathering
betsubetsu,別々,separate respective
chokutsuu,直通,direct line through service nonstop
machikado,街角,street corner
bunken,文献,literature books
abareru,暴れる,to act violently to rage to struggle
kara,殻,shell husk
honbu,本部,headquarters head main office
bonchi,盆地,basin between mountains
gejun,下旬,last third of a month
dantei,断定,conclusion decision judgement
youseki,容積,capacity volume
sakaba,酒場,bar pub tavern
dansui,断水,water outage
seisou,清掃,cleaning clean up garbage collection
rusuban,留守番,watch house
tsuya,艶,gloss luster shine sheen polish
kandenchi,乾電池,dry cell battery batteries
kanseki,感激,deep emotion impression inspiration
junsa,巡査,police office policeman
seichou,生長,growth of a plant
joujun,上旬,first ten days of a month
souryou,送料,postage shipping charge
kingyo,金魚,goldfish
shokyuu,初級,elementary level beginner
youshi,要旨,point essentials gist summary
koukou,孝行,filial piety showing devotion
semeru,攻める,to attack assault assail
touyu,灯油,kerosene lamp oil
bunryou,分量,amount quantity
koutou,高等,high class grade
naika,内科,internal medicine
nanboku,南北,north and south
shimekiru,締め切る,to close up shut cut off
monosashi,物差し,ruler measure
kakujuu,拡充,expansion
kakubetsu,格別,particular special exceptional
bousan,坊さん,buddhist priest monk
meisaku,名作,masterpiece
gakujuu,学術,science learning arts and sciences
gakuryoku,学力,scholarly ability
umu,有無,existence or nonexistence yes or no
youto,用途,use service purpose
namiki,並木,raodside tree row of trees
shouhai,勝敗,victory or defeat outcome
kokuritsu,国立,national founded by the government
shoumou,消耗,exhaustion consumption using up
kanetsu,加熱,heating
fuzoku,付属,attached to affiliated with
jokyouju,助教授,assistant professor
kyakuseki,客席,guest seating passenger seat
shouhin,賞品,prize trophy
shokuen,食塩,table salt
senpan,全般,the whole in general at large
yoso,余所,another place somewhere else strange parts
hanashikakeru,話しかける,to address to talk to
meguru,巡る,to go around return
damasu,騙す,to deceive trick cheat
tsukiau,付き合う,to date associate with
ochitsuku,落ち着く,to calm down compose oneself
furumau,振る舞う,to behave to entertain
atehamaru,当てはまる,to apply a rule be applicable
ukabu,浮かぶ,to float be suspended come to mind
omoitsuku,思いつく,to think of come into mind
yappari,矢っ張り,as expected sure enough
mejirushi,目印,mark sign landmark
